Symbol,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
CCS,CENTURY COMMUNITIES INC,Consumer Discretionary,Equity,26,611,129.50,0.80,26,611,129.50,275,763.00,96.50,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BECN,BEACON ROOFING SUPPLY INC,Industrials,Equity,25,303,863.00,0.76,25,303,863.00,258,150.00,98.02,United States,NASDAQ,USD,1.00,USD,-
LGIH,LGI HOMES INC,Consumer Discretionary,Equity,23,260,966.56,0.70,23,260,966.56,199,888.00,116.37,United States,NASDAQ,USD,1.00,USD,-
LENB,LENNAR CORP CLASS B,Consumer Discretionary,Equity,19,219,924.62,0.58,19,219,924.62,124,659.00,154.18,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
GRBK,GREEN BRICK PARTNERS INC,Consumer Discretionary,Equity,14,910,960.41,0.45,14,910,960.41,247,567.00,60.23,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
DOOR,MASONITE INTERNATIONAL CORP,Industrials,Equity,11,683,670.35,0.35,11,683,670.35,88,883.00,131.45,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
USD,USD CASH,Cash and/or Derivatives,Cash,10,555,148.85,0.32,10,555,148.85,10,555,149.00,100.00,United States,-,USD,1.00,USD,-
LEG,LEGGETT & PLATT INC,Consumer Discretionary,Equity,10,420,759.75,0.31,10,420,759.75,544,165.00,19.15,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MBC,MASTERBRAND INC,Industrials,Equity,9,690,210.38,0.29,9,690,210.38,517,087.00,18.74,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
DFH,DREAM FINDERS HOMES INC CLASS A,Consumer Discretionary,Equity,9,687,944.20,0.29,9,687,944.20,221,540.00,43.73,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BZH,BEAZER HOMES INC,Consumer Discretionary,Equity,9,127,616.80,0.27,9,127,616.80,278,281.00,32.80,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
HAYW,HAYWARD HOLDINGS INC,Industrials,Equity,7,874,116.72,0.24,7,874,116.72,514,312.00,15.31,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
JELD,JELD WEN HOLDING INC,Industrials,Equity,7,379,441.85,0.22,7,379,441.85,347,595.00,21.23,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AMWD,AMERICAN WOODMARK CORP,Industrials,Equity,6,644,802.58,0.20,6,644,802.58,65,363.00,101.66,United States,NASDAQ,USD,1.00,USD,-
NX,QUANEX BUILDING PRODUCTS CORP,Industrials,Equity,5,189,126.04,0.16,5,189,126.04,135,028.00,38.43,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,3,634,409.60,0.11,3,634,409.60,3,634,410.00,1.00,United States,-,USD,1.00,USD,-
ETD,ETHAN ALLEN INTERIORS INC,Consumer Discretionary,Equity,3,223,721.64,0.10,3,223,721.64,93,252.00,34.57,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ARHS,ARHAUS INC CLASS A,Consumer Discretionary,Equity,2,570,068.44,0.08,2,570,068.44,166,996.00,15.39,United States,NASDAQ,USD,1.00,USD,-
SGAFT,CASH COLLATERAL USD SGAFT,Cash and/or Derivatives,Cash Collateral and Margins,235,000.00,0.01,235,000.00,235,000.00,100.00,United States,-,USD,1.00,USD,Sep 01, 2016
FAM4,S&P MID 400 EMINI JUN 24,Cash and/or Derivatives,Futures,0.00,0.00,14,156,040.00,46.00,3,077.40,-,Index And Options Market,USD,1.00,USD,-
