Symbol
ABNB
ABT
ACI
ADC
ADI
ADMA
ADP
AEE
AEIS
AEM
AEP
AER
AFRM
AGCO
AGI
AGX
AHR
AJG
AL
ALAB
ALC
ALHC
ALL
ALLE
ALNY
AMH
AMP
AMT
AMZN
AN
ANSS
APG
APH
APP
APTV
AR
ARGX
ARMK
AS
ASND
ATEC
ATGE
ATI
ATO
AU
AVA
AVGO
AVPT
AWI
AWK
AXON
AXP
AXS
AZO
BA
BABA
BAM
BAP
BBIO
BBVA
BCRX
BCS
BHF
BIRK
BJ
BK
BKNG
BMA
BMI
BN
BNTX
BOOT
BPMC
BPOP
BRBR
BRKB
BRO
BROS
BSX
BTI
BTSG
BUD
BYD
C
CAH
CAKE
CALX
CART
CASY
CBOE
CBRE
CBRL
CCEP
CCJ
CCK
CCL
CCU
CDNS
CEG
CF
CHEF
CHTR
CHWY
CIEN
CLBT
CLS
CME
CMS
CNH
CNM
CNP
COCO
COF
COIN
COKE
COOP
COR
COST
CPA
CPAY
CPNG
CPRT
CPRX
CR
CRDO
CRH
CRK
CRS
CRWD
CRWV
CSCO
CSGP
CTAS
CTRE
CTVA
CUK
CVCO
CVLT
CVNA
CW
CWST
CXW
CYBR
DAN
DASH
DAVE
DB
DE
DGX
DIS
DOCU
DORM
DOX
DPZ
DRI
DRS
DT
DUK
DUOL
DY
EAT
EBAY
ECL
ED
EEFT
EGO
EHC
EME
ENB
EPRT
EQH
EQT
ERJ
ESE
ESLT
ETR
EVRG
EXC
EXEL
EXLS
EYE
FAST
FCFS
FFIV
FHI
FICO
FIX
FLEX
FLG
FMX
FNV
FROG
FSS
FTNT
FTS
FUTU
FWONK
GAP
GDDY
GE
GENI
GEO
GEV
GFI
GFL
GGAL
GH
GIL
GLNG
GOLD
GOLF
GPI
GPOR
GRND
GRPN
GS
GTES
GTLS
GWRE
HALO
HAS
HCA
HDB
HEI
HIG
HLN
HLNE
HLT
HMY
HOOD
HQY
HRB
HSBC
HUBS
HURN
HWM
IBKR
IBM
IBN
ICE
IDA
IDCC
IDXX
IESC
IFS
IHG
IMAX
ING
INTU
INVH
IRTC
ISRG
ITRI
ITT
JBL
JCI
JPM
KD
KDP
KEYS
KGC
KLAC
KNF
KNSA
KNSL
KO
KR
KRMN
KT
KTOS
KVUE
LB
LBRDK
LH
LIF
LKNCY
LLY
LLYVK
LMB
LNG
LOAR
LOPE
LPLA
LRCX
LRN
LTH
LYFT
LYV
MA
MAA
MAR
MCD
MCK
MCO
MDLZ
MELI
META
MIR
MMM
MMYT
MNDY
MNST
MO
MOS
MRCY
MRP
MRX
MS
MSFT
MSTR
MT
MTG
MTZ
MUSA
MYRG
NBIS
NDAQ
NEM
NET
NEU
NFG
NFLX
NGG
NJR
NOW
NRG
NTES
NTNX
NTR
NTRA
NTRS
NVDA
NVS
NWG
NXST
NXT
ODD
OGS
OKTA
OLLI
ONON
ORLY
OSIS
PAAS
PAG
PANW
PAR
PAYC
PAYX
PBH
PCTY
PEN
PFGC
PGR
PH
PLMR
PLNT
PLTR
PM
PNW
PODD
POST
PPC
PPL
PRIM
PRMB
PSMT
PWR
QFIN
QTWO
R
RACE
RBA
RBC
RBLX
RBRK
RCL
RELX
RELY
REVG
RGLD
RIVN
RJF
RKLB
RL
RMD
ROAD
ROK
ROL
RPRX
RRC
RSG
RTX
RYTM
SANM
SAP
SARO
SBAC
SBRA
SCHW
SDGR
SE
SEIC
SFM
SGI
SHAK
SHOP
SIEGY
SIMO
SITM
SKE
SKWD
SLAB
SLF
SLGN
SLM
SLNO
SMA
SMPL
SMR
SNEX
SNOW
SO
SOC
SOFI
SOLV
SONY
SPG
SPGI
SPOT
SR
SRAD
STE
STEP
STLD
STNE
STRL
STT
STX
SU
SXT
SYF
SYK
T
TAK
TARS
TCOM
TD
TDG
TEL
TGLS
TGTX
THC
TIGO
TJX
TKO
TLN
TME
TMUS
TOST
TPR
TRI
TRP
TRV
TSLA
TSM
TT
TTAN
TTWO
TVTX
TW
TWLO
TXNM
TXRH
UBER
UGI
UI
UL
ULS
ULTA
UNM
UPWK
URBN
USFD
UTI
V
VEEV
VICI
VIK
VIRT
VMC
VRNA
VRSK
VRSN
VRT
VRTX
VSEC
VST
VTR
WAB
WAY
WCN
WDAY
WDC
WEC
WELL
WFC
WGS
WM
WMB
WMT
WPM
WRB
WTRG
WTS
WWD
WYNN
XP
XPEV
YELP
YMM
Z
ZM
ZS
ZWS
